"Date (TU),""Valeur (en m³/s)"",""Statut"",""Qualification"",""Méthode"",""Continuité"""
"2014-08-18T00:00:00.000Z,""1810"",""4"",16,8,0"
"2014-08-19T00:00:00.000Z,""1660"",""4"",16,8,0"
"2014-08-20T00:00:00.000Z,""1530"",""4"",16,8,0"
"2014-08-21T00:00:00.000Z,""1430"",""4"",16,8,0"
"2014-08-22T00:00:00.000Z,""1330"",""4"",16,8,0"
"2014-08-23T00:00:00.000Z,""1310"",""4"",16,8,0"
"2014-08-24T00:00:00.000Z,""1310"",""4"",16,8,0"
"2014-08-25T00:00:00.000Z,""1270"",""4"",16,8,0"
"2014-08-26T00:00:00.000Z,""1280"",""4"",16,8,0"
"2014-08-27T00:00:00.000Z,""1480"",""4"",16,8,0"
"2014-08-28T00:00:00.000Z,""1550"",""4"",16,8,0"
"2014-08-29T00:00:00.000Z,""1430"",""4"",16,8,0"
"2014-08-30T00:00:00.000Z,""1520"",""4"",16,8,0"
"2014-08-31T00:00:00.000Z,""1490"",""4"",16,8,0"
"2014-09-01T00:00:00.000Z,""1600"",""4"",16,8,0"
"2014-09-02T00:00:00.000Z,""1820"",""4"",16,8,0"
"2014-09-03T00:00:00.000Z,""1600"",""4"",16,8,0"
"2014-09-04T00:00:00.000Z,""1550"",""4"",16,8,0"
"2014-09-05T00:00:00.000Z,""1470"",""4"",16,8,0"
"2014-09-06T00:00:00.000Z,""1380"",""4"",16,8,0"
"2014-09-07T00:00:00.000Z,""1370"",""4"",16,8,0"
"2014-09-08T00:00:00.000Z,""1280"",""4"",16,8,0"
"2014-09-09T00:00:00.000Z,""1270"",""4"",16,8,0"
"2014-09-10T00:00:00.000Z,""1260"",""4"",16,8,0"
"2014-09-11T00:00:00.000Z,""1220"",""4"",16,8,0"
"2014-09-12T00:00:00.000Z,""1180"",""4"",16,8,0"
"2014-09-13T00:00:00.000Z,""1190"",""4"",16,8,0"
"2014-09-14T00:00:00.000Z,""1150"",""4"",16,8,0"
"2014-09-15T00:00:00.000Z,""1130"",""4"",16,8,0"
"2014-09-16T00:00:00.000Z,""1080"",""4"",16,8,0"
"2014-09-17T00:00:00.000Z,""1040"",""4"",16,8,0"
"2014-09-18T00:00:00.000Z,""1040"",""4"",16,8,0"
"2014-09-19T00:00:00.000Z,""1030"",""4"",16,8,0"
"2014-09-20T00:00:00.000Z,""1010"",""4"",16,8,0"
"2014-09-21T00:00:00.000Z,""1030"",""4"",16,8,0"
"2014-09-22T00:00:00.000Z,""1280"",""4"",16,8,0"
"2014-09-23T00:00:00.000Z,""1260"",""4"",16,8,0"
"2014-09-24T00:00:00.000Z,""1140"",""4"",16,8,0"
"2014-09-25T00:00:00.000Z,""1120"",""4"",16,8,0"
"2014-09-26T00:00:00.000Z,""1150"",""4"",16,8,0"
"2014-09-27T00:00:00.000Z,""1070"",""4"",16,8,0"
"2014-09-28T00:00:00.000Z,""1000"",""4"",16,8,0"
"2014-09-29T00:00:00.000Z,""1010"",""4"",16,8,0"
"2014-09-30T00:00:00.000Z,""965"",""4"",16,8,0"
"2014-10-01T00:00:00.000Z,""971"",""4"",16,8,0"
"2014-10-02T00:00:00.000Z,""921"",""4"",16,8,0"
"2014-10-03T00:00:00.000Z,""876"",""4"",16,8,0"
"2014-10-04T00:00:00.000Z,""860"",""4"",16,8,0"
"2014-10-05T00:00:00.000Z,""851"",""4"",16,8,0"
"2014-10-06T00:00:00.000Z,""893"",""4"",16,8,0"
"2014-10-07T00:00:00.000Z,""859"",""4"",16,8,0"
"2014-10-08T00:00:00.000Z,""945"",""4"",16,8,0"
